2025-08-23 16:20:48,981 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,981 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,981 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,982 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,982 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,982 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,982 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,982 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,983 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,983 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,983 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,983 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,984 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,984 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,984 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,984 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,985 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,986 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,987 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,987 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,987 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,987 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,987 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,988 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,988 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,988 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,988 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,988 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,989 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,989 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,989 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,989 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,989 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,990 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,990 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,990 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,990 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,991 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,992 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,992 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,992 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,992 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,993 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,993 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,993 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,993 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,993 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,994 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,994 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,994 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,994 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,994 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,995 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,996 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,996 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,996 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,996 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,997 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:48,998 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,998 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,998 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,998 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:48,999 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:48,999 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:48,999 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:49,000 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Manual discovery broadcast sent to network
2025-08-23 16:20:49,000 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
2025-08-23 16:20:49,000 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:49,000 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:49,000 | INFO     | EnhancedRetrievalSystem | info:684 | 🔍 Discovered node: Mlee (10.28.130.29)
2025-08-23 16:20:49,001 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50650
2025-08-23 16:20:49,001 | INFO     | EnhancedRetrievalSystem | info:684 | 📡 Legacy broadcast received from 169.254.34.55:50648
